Date,A_SB,A_NB,A_Total,B_SB,B_NB,B_Total,H_SB,H_NB,H_Total,A_Day,H_Day,A_WD,H_WD,A_M,H_M,A_DM,H_DM,Year,F_SB,F_NB,F_Total,,
5/9/2019,4727,3222,7949,3029,2997,6026,2459,2626,5085,4,4,0,0,5,5,9,10,2019,4727,3222,7949,,
5/10/2019,3644,3661,7305,2829,3598,6427,2296,3153,5449,5,5,1,1,5,5,10,11,2019,3644,3661,7305,,
5/11/2019,2798,4464,7262,2459,3840,6299,1996,3463,5459,6,6,1,1,5,5,11,12,2019,2798,4464,7262,,
5/12/2019,3040,5077,8117,2459,4309,6768,1996,3874,5870,7,7,1,1,5,5,12,13,2019,3040,5077,8117,,
5/13/2019,2451,4338,6789,2336,3468,5804,1896,3039,4935,1,1,0,0,5,5,13,14,2019,2451,4338,6789,,
5/14/2019,2267,4354,6621,2534,3212,5746,2057,2814,4871,2,2,0,0,5,5,14,15,2019,2267,4354,6621,,
5/15/2019,2656,3633,6289,2340,3135,5475,1899,2747,4646,3,3,0,0,5,5,15,16,2019,2656,3633,6289,,
5/16/2019,3788,3766,7554,3107,3029,6136,2522,2654,5176,4,4,0,0,5,5,16,17,2019,3788,3766,7554,,
5/17/2019,3301,3950,7251,3070,3544,6614,2492,3105,5597,5,5,1,1,5,5,17,18,2019,3301,3950,7251,,
5/18/2019,2904,4375,7279,2485,3290,5775,2017,2883,4900,6,6,1,1,5,5,18,19,2019,2904,4375,7279,,
5/19/2019,3198,4691,7889,2943,3906,6850,2389,3521,5910,7,7,1,1,5,5,19,20,2019,3198,4691,7889,,
5/20/2019,2359,4200,6559,2243,3212,5455,1821,2814,4635,1,1,0,0,5,5,20,21,2019,2359,4200,6559,,
5/21/2019,2841,3799,6640,2657,2870,5528,2157,2515,4672,2,2,0,0,5,5,21,22,2019,2841,3799,6640,,
5/22/2019,3440,3464,6904,2953,2902,5855,2397,2543,4940,3,3,0,0,5,5,22,23,2019,3440,3464,6904,,
5/23/2019,5452,3536,8988,4916,3111,8027,3990,2726,6716,4,4,0,0,5,5,23,24,2019,5452,3536,8988,,
5/24/2019,5644,3421,9065,5445,2982,8427,4420,2688,7108,5,5,1,1,5,5,24,25,2019,5644,3421,9065,,
5/25/2019,4859,3761,8620,4098,3081,7179,3236,2700,5936,6,6,1,1,5,5,25,26,2019,4859,3761,8620,,
5/26/2019,3582,3999,7581,2965,3585,6550,2407,3141,5548,7,7,1,1,5,5,26,27,2019,3582,3999,7581,,
